4.500   IPTU: R$ 485;Rua Guarapuã;Aluguel: R$ 4.500   IPTU: R$ 485
5.000   IPTU: R$ 826;Rua São Zeferino;Aluguel: R$ 5.000   IPTU: R$ 826
7.000   IPTU: R$ 560;Rua Barra Mansa;Aluguel: R$ 7.000   IPTU: R$ 560
20.000   IPTU: R$ 1.828;Rua Gaurama;Aluguel: R$ 20.000   IPTU: R$ 1.828
7.000   IPTU: R$ 1.500;Rua Japoatã;Aluguel: R$ 7.000   IPTU: R$ 1.500
8.000   IPTU: R$ 400;Rua Barra Mansa;Aluguel: R$ 8.000   IPTU: R$ 400
10.000   IPTU: R$ 500;Rua Padre Luciano;Aluguel: R$ 10.000   IPTU: R$ 500
12.000;Rua Vaz Muniz;Aluguel: R$ 12.000
9.500   IPTU: R$ 766;Rua Guarapuã;Aluguel: R$ 9.500   IPTU: R$ 766
8.500   IPTU: R$ 766;Rua Guarapuã;Aluguel: R$ 8.500   IPTU: R$ 766
7.000;Rua Padre Luciano;Aluguel: R$ 7.000
7.000;Rua Padre Luciano;Aluguel: R$ 7.000
35.000   IPTU: R$ 1.000;Avenida Nova Cantareira;Aluguel: R$ 35.000   IPTU: R$ 1.000
22.000;Rua Vaz Muniz;Aluguel: R$ 22.000
1.750   Condomínio: R$ 675   IPTU: R$ 58;Rua Alfredo Pujol;Aluguel: R$ 1.750   Condomínio: R$ 675   IPTU: R$ 58
1.800   Condomínio: R$ 625   IPTU: R$ 550;Rua Garção Tinoco;Aluguel: R$ 1.800   Condomínio: R$ 625   IPTU: R$ 550
2.100   Condomínio: R$ 870   IPTU: R$ 141;Rua Pedro Doll;Aluguel: R$ 2.100   Condomínio: R$ 870   IPTU: R$ 141
2.300   Condomínio: R$ 500   IPTU: R$ 100;Rua Doutor Artur Guimarães;Aluguel: R$ 2.300   Condomínio: R$ 500   IPTU: R$ 100
18.000   IPTU: R$ 1.400;Rua Maestro Antão Fernandes;Aluguel: R$ 18.000   IPTU: R$ 1.400
1.000;Avenida Imirim;Aluguel: R$ 1.000
850;Avenida Imirim;Aluguel: R$ 850
1.950   Condomínio: R$ 1.177   IPTU: R$ 159;Rua Aluísio Azevedo;Aluguel: R$ 1.950   Condomínio: R$ 1.177   IPTU: R$ 159
1.700;Rua Capitão Rabelo;Aluguel: R$ 1.700
4.500   IPTU: R$ 485;Rua Guarapuã;Aluguel: R$ 4.500   IPTU: R$ 485
5.000   IPTU: R$ 826;Rua São Zeferino;Aluguel: R$ 5.000   IPTU: R$ 826
7.000   IPTU: R$ 560;Rua Barra Mansa;Aluguel: R$ 7.000   IPTU: R$ 560
20.000   IPTU: R$ 1.828;Rua Gaurama;Aluguel: R$ 20.000   IPTU: R$ 1.828
7.000   IPTU: R$ 1.500;Rua Japoatã;Aluguel: R$ 7.000   IPTU: R$ 1.500
8.000   IPTU: R$ 400;Rua Barra Mansa;Aluguel: R$ 8.000   IPTU: R$ 400
10.000   IPTU: R$ 500;Rua Padre Luciano;Aluguel: R$ 10.000   IPTU: R$ 500
12.000;Rua Vaz Muniz;Aluguel: R$ 12.000
9.500   IPTU: R$ 766;Rua Guarapuã;Aluguel: R$ 9.500   IPTU: R$ 766
8.500   IPTU: R$ 766;Rua Guarapuã;Aluguel: R$ 8.500   IPTU: R$ 766
7.000;Rua Padre Luciano;Aluguel: R$ 7.000
7.000;Rua Padre Luciano;Aluguel: R$ 7.000
35.000   IPTU: R$ 1.000;Avenida Nova Cantareira;Aluguel: R$ 35.000   IPTU: R$ 1.000
22.000;Rua Vaz Muniz;Aluguel: R$ 22.000
1.750   Condomínio: R$ 675   IPTU: R$ 58;Rua Alfredo Pujol;Aluguel: R$ 1.750   Condomínio: R$ 675   IPTU: R$ 58
1.800   Condomínio: R$ 625   IPTU: R$ 550;Rua Garção Tinoco;Aluguel: R$ 1.800   Condomínio: R$ 625   IPTU: R$ 550
2.100   Condomínio: R$ 870   IPTU: R$ 141;Rua Pedro Doll;Aluguel: R$ 2.100   Condomínio: R$ 870   IPTU: R$ 141
2.300   Condomínio: R$ 500   IPTU: R$ 100;Rua Doutor Artur Guimarães;Aluguel: R$ 2.300   Condomínio: R$ 500   IPTU: R$ 100
18.000   IPTU: R$ 1.400;Rua Maestro Antão Fernandes;Aluguel: R$ 18.000   IPTU: R$ 1.400
1.000;Avenida Imirim;Aluguel: R$ 1.000
850;Avenida Imirim;Aluguel: R$ 850
1.950   Condomínio: R$ 1.177   IPTU: R$ 159;Rua Aluísio Azevedo;Aluguel: R$ 1.950   Condomínio: R$ 1.177   IPTU: R$ 159
1.700;Rua Capitão Rabelo;Aluguel: R$ 1.700
4.500   IPTU: R$ 485;Rua Guarapuã;Aluguel: R$ 4.500   IPTU: R$ 485
5.000   IPTU: R$ 826;Rua São Zeferino;Aluguel: R$ 5.000   IPTU: R$ 826
7.000   IPTU: R$ 560;Rua Barra Mansa;Aluguel: R$ 7.000   IPTU: R$ 560
20.000   IPTU: R$ 1.828;Rua Gaurama;Aluguel: R$ 20.000   IPTU: R$ 1.828
7.000   IPTU: R$ 1.500;Rua Japoatã;Aluguel: R$ 7.000   IPTU: R$ 1.500
8.000   IPTU: R$ 400;Rua Barra Mansa;Aluguel: R$ 8.000   IPTU: R$ 400
10.000   IPTU: R$ 500;Rua Padre Luciano;Aluguel: R$ 10.000   IPTU: R$ 500
12.000;Rua Vaz Muniz;Aluguel: R$ 12.000
9.500   IPTU: R$ 766;Rua Guarapuã;Aluguel: R$ 9.500   IPTU: R$ 766
8.500   IPTU: R$ 766;Rua Guarapuã;Aluguel: R$ 8.500   IPTU: R$ 766
7.000;Rua Padre Luciano;Aluguel: R$ 7.000
7.000;Rua Padre Luciano;Aluguel: R$ 7.000
35.000   IPTU: R$ 1.000;Avenida Nova Cantareira;Aluguel: R$ 35.000   IPTU: R$ 1.000
22.000;Rua Vaz Muniz;Aluguel: R$ 22.000
1.750   Condomínio: R$ 675   IPTU: R$ 58;Rua Alfredo Pujol;Aluguel: R$ 1.750   Condomínio: R$ 675   IPTU: R$ 58
1.800   Condomínio: R$ 625   IPTU: R$ 550;Rua Garção Tinoco;Aluguel: R$ 1.800   Condomínio: R$ 625   IPTU: R$ 550
2.100   Condomínio: R$ 870   IPTU: R$ 141;Rua Pedro Doll;Aluguel: R$ 2.100   Condomínio: R$ 870   IPTU: R$ 141
2.300   Condomínio: R$ 500   IPTU: R$ 100;Rua Doutor Artur Guimarães;Aluguel: R$ 2.300   Condomínio: R$ 500   IPTU: R$ 100
18.000   IPTU: R$ 1.400;Rua Maestro Antão Fernandes;Aluguel: R$ 18.000   IPTU: R$ 1.400
1.000;Avenida Imirim;Aluguel: R$ 1.000
850;Avenida Imirim;Aluguel: R$ 850
1.950   Condomínio: R$ 1.177   IPTU: R$ 159;Rua Aluísio Azevedo;Aluguel: R$ 1.950   Condomínio: R$ 1.177   IPTU: R$ 159
1.700;Rua Capitão Rabelo;Aluguel: R$ 1.700
4.500   IPTU: R$ 485;Rua Guarapuã;Aluguel: R$ 4.500   IPTU: R$ 485
5.000   IPTU: R$ 826;Rua São Zeferino;Aluguel: R$ 5.000   IPTU: R$ 826
7.000   IPTU: R$ 560;Rua Barra Mansa;Aluguel: R$ 7.000   IPTU: R$ 560
20.000   IPTU: R$ 1.828;Rua Gaurama;Aluguel: R$ 20.000   IPTU: R$ 1.828
7.000   IPTU: R$ 1.500;Rua Japoatã;Aluguel: R$ 7.000   IPTU: R$ 1.500
8.000   IPTU: R$ 400;Rua Barra Mansa;Aluguel: R$ 8.000   IPTU: R$ 400
10.000   IPTU: R$ 500;Rua Padre Luciano;Aluguel: R$ 10.000   IPTU: R$ 500
12.000;Rua Vaz Muniz;Aluguel: R$ 12.000
9.500   IPTU: R$ 766;Rua Guarapuã;Aluguel: R$ 9.500   IPTU: R$ 766
8.500   IPTU: R$ 766;Rua Guarapuã;Aluguel: R$ 8.500   IPTU: R$ 766
7.000;Rua Padre Luciano;Aluguel: R$ 7.000
7.000;Rua Padre Luciano;Aluguel: R$ 7.000
35.000   IPTU: R$ 1.000;Avenida Nova Cantareira;Aluguel: R$ 35.000   IPTU: R$ 1.000
22.000;Rua Vaz Muniz;Aluguel: R$ 22.000
1.750   Condomínio: R$ 675   IPTU: R$ 58;Rua Alfredo Pujol;Aluguel: R$ 1.750   Condomínio: R$ 675   IPTU: R$ 58
1.800   Condomínio: R$ 625   IPTU: R$ 550;Rua Garção Tinoco;Aluguel: R$ 1.800   Condomínio: R$ 625   IPTU: R$ 550
2.100   Condomínio: R$ 870   IPTU: R$ 141;Rua Pedro Doll;Aluguel: R$ 2.100   Condomínio: R$ 870   IPTU: R$ 141
2.300   Condomínio: R$ 500   IPTU: R$ 100;Rua Doutor Artur Guimarães;Aluguel: R$ 2.300   Condomínio: R$ 500   IPTU: R$ 100
18.000   IPTU: R$ 1.400;Rua Maestro Antão Fernandes;Aluguel: R$ 18.000   IPTU: R$ 1.400
1.000;Avenida Imirim;Aluguel: R$ 1.000
850;Avenida Imirim;Aluguel: R$ 850
1.950   Condomínio: R$ 1.177   IPTU: R$ 159;Rua Aluísio Azevedo;Aluguel: R$ 1.950   Condomínio: R$ 1.177   IPTU: R$ 159
1.700;Rua Capitão Rabelo;Aluguel: R$ 1.700
